Level;Charakter EP;Level min EP;Level max EP;Aktueller Level;Nächster Level;Needed till Level up;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;1;Limbo;;;;;;;;;;;;;;;
1;2700;2700;6500;4;5;3800;;;;2;Flamecontroll;;;;;;;;;;;;;;;
2;2700;2700;6500;4;5;3800;;;;3;Timecontroll;;;;;;;;;;;;;;;
3;2700;2700;6500;4;5;3800;;;;4;Amaterasu;;;;;;;;;;;;;;;
4;2700;2700;6500;4;5;3800;;;;5;Tsukuyomi;;;;;;;;;;;;;;;
5;1;0;300;1;2;299;;;;6;Kamui;;;;;;;;;;;;;;;
6;1;0;300;1;2;299;;;;;;;;;;;;;;;;;;;;
7;1;0;300;1;2;299;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
PUNKTE;AT;VP;TP;B-AT;PUNKTE;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;25;1;;;;;;;;;;;;;;;;;;;;;
2;0;0;0;25;2;;;;;;;;;;;;;;;;;;;;;
3;0;0;0;25;3;;;;;;;;;;;;;;;;;;;;;
4;0;0;0;25;4;;;;;;;;;;;;;;;;;;;;;
5;20;3;20;20;5;;;;;;;;;;;;;;;;;;;;;
6;20;3;20;20;6;;;;;;;;;;;;;;;;;;;;;
7;20;3;20;20;7;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
 Char - AT Spent;BW;GI;IT;ST;WE;AUD;SUMME;;Begleiter - AT Spent;BW;GI;IT;ST;WE;AUD;SUMME;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
1;6;2;4;;7;6;25;;1;;;;;;;0;;;;;;;;;;
