;AT_Name;AT_DMG_1;AT_1_%;AT_DMG_2;AT_2_%;AT_DMG_3;AT_3_%;Berechnung 1;Berechnung 2;Berechnung 3;;;;Chakra;Naturenergie;Mana;Äther;Licht;Schatten;Aura;Zwielicht;Arceus;Triforce;Elras;Dimfr;Nahkampf;Kurz Distanz;Mittlere Distanz;Hohe Distanz;Fernkampf;Schusswaffen;CH;NE;MA;ÄT;LI;SCH;AUR;ZL;ARC;TRI;ELR;DIM;SchnW;StiW;StoW;WW;H2H;SchuW;DMG TOTAL;EN;Kategorie;;
1;Geübter Schütze;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;P;;10
1;Markierung des Waldläufers;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;P;;
1;Treuer Begleiter;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;P;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;Salve;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;B;;
1;Ruhige Atmung;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;B;;
1;Heldenhafte Heilung;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;B;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;Gezielter Schuss;Ranged;70%;0,00%;0%;0,00%;0%;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;S;;
1;Schneller Schuss;Ranged;100%;0,00%;0%;0,00%;0%;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;S;;
1;Mehrfachschuss;Ranged;60%;0,00%;0%;0,00%;0%;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;S;;
1;Stoßfeuer;Ranged;80%;0,00%;0%;0,00%;0%;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;S;;
1;Volltreffer;Ranged;140%;0,00%;0%;0,00%;0%;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;S;;
2;Unterstützer;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;P;;
2;Unendliche Magie;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;P;;
2;Nullschleife;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;P;;
2;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
2;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
