Name;Form;;AT_Name;AT_Art;AT_Beschreibung;CD;BS_PB;AT_DMG_1;% AT 1;AT_DMG_2;% AT 2;AT_DMG_3;% AT 3;EN;Damage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Klasse_1;A1;Geübter Schütze;P;Nähe zum Ziel gibt keinen Malus mehr. Wenn der Charakter erhöht steht, oder ein freies Schussfeld hat ist sein Fernkampfwurf um 1 erleichtert.;;;;;;;;;;0,00;;;;174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;A2;Markierung des Waldläufers;P;Erlaubt Euch ein Ziel zu markieren. (Markierung kann einmal pro Runde umgesetzt werden, es kann von Euch nur 1 Ziel gleichzeitig markiert werden). Markierte Ziele erleiden 3 Schaden mehr durch Fernkampfangriffe. Fernkampfangriffe treffen immer jedes markiertes Ziel.;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;A3;Treuer Begleiter;P;"Erlaubt es Euch eine Bestie zu zähmen. Die Bestie attackiert vor Euch und verursacht NK/2 Schaden. || Level 10: Eure Bestie markiert ihr aktuelles Ziel mit ""Markierung des Waldläufers"". Dadurch können zwei ""Markierungen des Waldläufers"" aktiv sein";;;;;;;;;;0,00;;;2078;;AVG;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;A4;;;;;;;;;;;;;0,00;;;;;12;;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;A5;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;A6;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;A7;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;B1;Salve;B;Erlaubt euch diese Runde eine Aktion mehr zu wirken;10R;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;B2;Ruhige Atmung;B;Ihr zerrt Eure Bonusaktion auf, dafür trifft der nächste Angriff kritisch. Ihr könnt Euch diese Runde nicht bewegen;10R;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;B3;Heldenhafte Heilung;B;Ihr heilt euch um 30% eurer LE;10R;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;B4;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;B5;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;B6;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;B7;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;C01;Gezielter Schuss;S;"Ihr wirkt einen gezielten Schuss, erhöht den Schaden von ""Schneller Schuss"" um 2";-;FK;Ranged;70%;;;;;;10,00;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;C02;Schneller Schuss;S;Schneller Schuss welcher Schaden verursacht;1R;FK;Ranged;100%;;;;;;13,00;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;C03;Mehrfachschuss;S;Ihr feuert Pfeile bis zu drei Ziele gleichzeitig;3R;FK;Ranged;60%;;;;;;8,00;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;C04;Stoßfeuer;S;Ihr feuert eine wilde Salve ab, verursacht Schaden an Zielen 2 Felder vor Euch;5R;FK;Ranged;80%;;;;;;11,00;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;C05;Volltreffer;S;"Ihr feuert einen perfekt gezielten Pfeil. Trifft immer kritisch. Erlaubt Euch ""Salve"" zu wirken, egal ob eine Abklingzeit aktiv ist.";10R;FK;Ranged;140%;;;;;;19,00;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Klasse_2;A1;Unterstützer;P;Immer wenn ihr einen Verbündeten stärkt, könnt ihr die Abklingzeit eines Zaubers um 1R senken;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;A2;Unendliche Magie;P;Immer wenn ihr einen Offensiven Zauber wirkt, könnt ihr die nächste Aktion eines Gruppenmitglieds augmentieren. Es darf 2 D20 würfeln, das bessere Würfelergebnis muss dann ausgewählt werden und wird um 1 erleichtert;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;A3;Nullschleife;P;Eure Offensiven Zauber erhöhen den Schaden eines Gruppenmitglieds um 3 für den Rest der Runde. || Level 10: ihr könnt nun bis zu zwei Gruppenmitglieder verstärken;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;A4;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;A5;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;A6;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;A7;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;B1;Umkehr;B;Erlaubt es euch das Würfel Ergebnis eines Gruppenmitglieds von einem Misserfolg zu einem Erfolg zu ändern;15R;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;B2;Energiereaktor;B;Ihr senkt die Abklingzeit eines Zaubers eines eurer Gruppenmitglieder um 5R;15R;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;B3;Heldenhafte Heilung;B;Ihr heilt euch um 30% eurer LE;10R;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;B4;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;B5;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;B6;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;B7;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;C01;Nullschuss;S;Ihr wendet die Energie eures Ziels gegen ihn und verursacht Schaden;-;EM;Mana;25%;;;;;;4,00;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;C02;Bodenwelle;S;Ihr löst mit der Energie der Umgebung eine Bodenwelle aus dem Schaden verursacht;2R;EM;Mana;40%;;;;;;6,00;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;C03;Verschiebung;S;Ihr verschiebt die Position eines Gegners um bis zu 2 Felder;7R;EM;Mana;40%;;;;;;6,00;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;C04;Aufrüttung;S;Ihr lässt den Boden unter einem Ziel aufbrechen;5R;EM;Mana;30%;;;;;;4,00;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;C05;Offenbarender Hagel;S;"Ihr formt die Restenergien von Zauber zu geschossen um die den Gegner verletzen die Abklingzeit von ""Umkehr"" auf 0 setzen";10R;EM;Mana;80%;;;;;;11,00;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Beschwörer;A1;Beschwörungslehren;P;Erlaubt euch eine Aktion aufzubrauchen um damit eine Eurer Beschwörungen zu beschwören. Die Beschwörung attackiert indem ihr sie mit einer Bonusaktion dazu befehligt. Kritische Treffer Eurer Beschwörung verleiht euch eine erneute Bonusaktion. (max. 2 mal pro Runde);;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Beschwörer;A2;Beschwörerbund;P;Eure Beschwörungen verstärken je nach ihrer verwendeten Magie Eure Zauber: Weltliche Energien: Eure Hast ist um 2 erhöht und ihr erleidet2 Schaden weniger. |Kosmische Energien: Euer Angriff ist um 1 erl und 1 DEF des Gegners wird ignoriert | Mythische Energien: Eure Angriffe ignorieren Resistenzen außerdem verursachen kritische Treffer 2 Schaden mehr. | Göttliche Magien: Erleichtert Eure Angriffe um 2 und erhöht euer KRIT um 2 | Schöpfungsmagie: Eure Angriffe treffen garantiert und ignorieren DEF;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Beschwörer;A3;Ruin;P;"Nachdem eure Beschwörung kritisch getroffen hat erhaltet ihr einen Stapel von ""Ruin"" ihr könnt zu jederzeit maximal 2 Stapel von ""Ruin"" haben. Ihr könnt einen Stapel von ""Ruin"" aufzehren um so spontan ""Beschwörungsschlag"" auszulösen.";;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Beschwörer;A4;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Beschwörer;A5;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Beschwörer;A6;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Beschwörer;A7;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Beschwörer;B1;Beschwörungstor;B;Ihr ermächtigt Eure Beschwörung, sie verursacht diese Runde doppelten Schaden;15R;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Beschwörer;B2;Beschwörungsform;B;"Ihr verstärkt euch selbst mit eurer Beschwörung und erhaltet dadurch einen Energetischen Mantel. Eure Angriffe die nächsten 2 Runden profitieren von ""Beschwörungsbund"" doppelt.";15R;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Beschwörer;B3;Heldenhafte Heilung;B;Ihr heilt euch um 30% eurer LE;10R;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Beschwörer;B4;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Beschwörer;B5;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Beschwörer;B6;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Beschwörer;B7;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Beschwörer;C01;Beschwörungsschlag;S;Ihr führt eine Elementneutrale Attacke aus die Schaden verursacht;5R;BS;Mana;120%;;;;;;16,00;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
